# q*x Normalized_I
1.677462e-01 1.000000e+00
1.740408e-01 1.004769e+00
1.788237e-01 9.959102e-01
1.803354e-01 1.032227e+00
1.855341e-01 9.774664e-01
1.866301e-01 9.986311e-01
1.922444e-01 9.922575e-01
1.929247e-01 1.009751e+00
1.989547e-01 9.908071e-01
1.992194e-01 9.802461e-01
1.993964e-01 9.728452e-01
2.055140e-01 9.673053e-01
2.056650e-01 9.968928e-01
2.068787e-01 9.863005e-01
2.118086e-01 9.788337e-01
2.123754e-01 9.619620e-01
2.143610e-01 9.796302e-01
2.181033e-01 9.674175e-01
2.190857e-01 9.491020e-01
2.218433e-01 9.552878e-01
2.243979e-01 9.648041e-01
2.257960e-01 9.605126e-01
2.293256e-01 9.691216e-01
2.294641e-01 1.034431e+00
2.306926e-01 9.417912e-01
2.325063e-01 9.588444e-01
2.368079e-01 9.529310e-01
2.369872e-01 9.417873e-01
2.380747e-01 9.846452e-01
2.392166e-01 9.358350e-01
2.432818e-01 9.337089e-01
2.442902e-01 9.298447e-01
2.459270e-01 9.303348e-01
2.466853e-01 9.842711e-01
2.495765e-01 9.225056e-01
2.517725e-01 9.300528e-01
2.526373e-01 9.326699e-01
2.552959e-01 9.536608e-01
2.558711e-01 9.190551e-01
2.592548e-01 9.093636e-01
2.593476e-01 9.141032e-01
2.621658e-01 9.050606e-01
2.639065e-01 9.606094e-01
2.660579e-01 9.070110e-01
2.667371e-01 9.190550e-01
2.684604e-01 8.938858e-01
2.725170e-01 9.344478e-01
2.727683e-01 8.991742e-01
2.742195e-01 9.011067e-01
2.747550e-01 8.754823e-01
2.794786e-01 8.741534e-01
2.810497e-01 8.733576e-01
2.811276e-01 9.172075e-01
2.817018e-01 9.003410e-01
2.861889e-01 8.767411e-01
2.873443e-01 8.632602e-01
2.891841e-01 8.850028e-01
2.897382e-01 9.159674e-01
2.928992e-01 8.674053e-01
2.936390e-01 8.552327e-01
2.966664e-01 8.694684e-01
2.983488e-01 9.044093e-01
2.996096e-01 8.536452e-01
2.999336e-01 8.402321e-01
3.041487e-01 8.639609e-01
3.062282e-01 8.461787e-01
3.063199e-01 8.465327e-01
3.069594e-01 8.903289e-01
3.116310e-01 8.480464e-01
3.125229e-01 8.365816e-01
3.130302e-01 8.455483e-01
3.133372e-01 8.999713e-01
3.155700e-01 8.702506e-01
3.188175e-01 8.249417e-01
3.191133e-01 8.456737e-01
3.197405e-01 8.325286e-01
3.241806e-01 8.651836e-01
3.250951e-01 8.803480e-01
3.251122e-01 8.255500e-01
3.264509e-01 8.190015e-01
3.265956e-01 8.323688e-01
3.314068e-01 8.121022e-01
3.327912e-01 8.428640e-01
3.331612e-01 8.229657e-01
3.340779e-01 8.255482e-01
3.368530e-01 8.752511e-01
3.377014e-01 8.041918e-01
3.398715e-01 8.082365e-01
3.414018e-01 8.444602e-01
3.415602e-01 8.217432e-01
3.439961e-01 7.954505e-01
3.465818e-01 8.046244e-01
3.486109e-01 8.535229e-01
3.490425e-01 8.107537e-01
3.500124e-01 8.313037e-01
3.502907e-01 7.804192e-01
3.532921e-01 7.942668e-01
3.565248e-01 8.012732e-01
3.565853e-01 7.797049e-01
3.586230e-01 8.121416e-01
3.600025e-01 7.897952e-01
3.603688e-01 8.431144e-01
3.628800e-01 7.807568e-01
3.640071e-01 7.941034e-01
3.667128e-01 7.812204e-01
3.672336e-01 8.053340e-01
3.691746e-01 7.749855e-01
3.714895e-01 7.734118e-01
3.721267e-01 8.216933e-01
3.734231e-01 7.744721e-01
3.754693e-01 7.727228e-01
3.758442e-01 7.898956e-01
3.789718e-01 7.705397e-01
3.801334e-01 7.699596e-01
3.817639e-01 7.566058e-01
3.838846e-01 8.061851e-01
3.844547e-01 7.815425e-01
3.864541e-01 7.675489e-01
3.868438e-01 7.638037e-01
3.880585e-01 7.389684e-01
3.930653e-01 7.789754e-01
3.935541e-01 7.531393e-01
3.939364e-01 7.547197e-01
3.943532e-01 7.430164e-01
3.956426e-01 7.959112e-01
4.002644e-01 7.454283e-01
4.006478e-01 7.363277e-01
4.014187e-01 7.526246e-01
4.016759e-01 7.635900e-01
4.069425e-01 7.259421e-01
4.069747e-01 7.384234e-01
4.074005e-01 7.761293e-01
4.089010e-01 7.432030e-01
4.102865e-01 7.508571e-01
4.132371e-01 7.294806e-01
4.136851e-01 7.310196e-01
4.163833e-01 7.389164e-01
4.188971e-01 7.438996e-01
4.191584e-01 7.639684e-01
4.195317e-01 7.227928e-01
4.203954e-01 7.248168e-01
4.238656e-01 7.255606e-01
4.258264e-01 7.190823e-01
4.271057e-01 7.225298e-01
4.275077e-01 7.354345e-01
4.309163e-01 7.453684e-01
4.313479e-01 7.235445e-01
4.321210e-01 6.999518e-01
4.338160e-01 7.140408e-01
4.361183e-01 7.290824e-01
4.384157e-01 7.034327e-01
4.388302e-01 7.205939e-01
4.405263e-01 7.029289e-01
4.426742e-01 7.475137e-01
4.447103e-01 6.981764e-01
4.447289e-01 7.173279e-01
4.463125e-01 7.037072e-01
4.472367e-01 7.067875e-01
4.510049e-01 6.891111e-01
4.533395e-01 7.058626e-01
4.537948e-01 7.053075e-01
4.539470e-01 7.031746e-01
4.544321e-01 7.253872e-01
4.572996e-01 6.872998e-01
4.606573e-01 6.856895e-01
4.612771e-01 6.862388e-01
4.619501e-01 7.037934e-01
4.635942e-01 6.772976e-01
4.661900e-01 7.189045e-01
4.673676e-01 6.869210e-01
4.687594e-01 6.827202e-01
4.698889e-01 6.759323e-01
4.705607e-01 6.928943e-01
4.740780e-01 6.815434e-01
4.761835e-01 6.802676e-01
4.762418e-01 6.811783e-01
4.779479e-01 7.093647e-01
4.791713e-01 6.848414e-01
4.807883e-01 6.790536e-01
4.824781e-01 6.669739e-01
4.837241e-01 6.747361e-01
4.874986e-01 6.683983e-01
4.877818e-01 6.775035e-01
4.887728e-01 6.598497e-01
4.897058e-01 6.972970e-01
4.912064e-01 6.638315e-01
4.942089e-01 6.608193e-01
4.950674e-01 6.567269e-01
4.963924e-01 6.777885e-01
4.986887e-01 6.694669e-01
5.009193e-01 6.565416e-01
5.013621e-01 6.499473e-01
5.014638e-01 6.851063e-01
5.050030e-01 6.620020e-01
5.061710e-01 6.621399e-01
5.076296e-01 6.565128e-01
5.076567e-01 6.506285e-01
5.132217e-01 6.679652e-01
5.136136e-01 6.521701e-01
5.136533e-01 6.488135e-01
5.139513e-01 6.443790e-01
5.143399e-01 6.436319e-01
5.202460e-01 6.464877e-01
5.210502e-01 6.474533e-01
5.211356e-01 6.494408e-01
5.222242e-01 6.508760e-01
5.249796e-01 6.594148e-01
5.265406e-01 6.418561e-01
5.277606e-01 6.448374e-01
5.286179e-01 6.362814e-01
5.308348e-01 6.416038e-01
5.328353e-01 6.451772e-01
5.344709e-01 6.290846e-01
5.361002e-01 6.353501e-01
5.367375e-01 6.512648e-01
5.391299e-01 6.241029e-01
5.394454e-01 6.317363e-01
5.411812e-01 6.360057e-01
5.428013e-01 6.652667e-01
5.435825e-01 6.331778e-01
5.454245e-01 6.285475e-01
5.478915e-01 6.242817e-01
5.480560e-01 6.286230e-01
5.484954e-01 6.429403e-01
5.510648e-01 6.266936e-01
5.517192e-01 6.267806e-01
5.546018e-01 6.188551e-01
5.566666e-01 6.203778e-01
5.580138e-01 6.202133e-01
5.585471e-01 6.166324e-01
5.602533e-01 6.290427e-01
5.613122e-01 6.140684e-01
5.631698e-01 6.486647e-01
5.643085e-01 6.168246e-01
5.652772e-01 6.157632e-01
5.660294e-01 6.148178e-01
5.680225e-01 6.155149e-01
5.706031e-01 6.133037e-01
5.720112e-01 6.183345e-01
5.735118e-01 6.055880e-01
5.738878e-01 6.170738e-01
5.747328e-01 6.121574e-01
5.768977e-01 6.055718e-01
5.809941e-01 6.039188e-01
5.814431e-01 6.058536e-01
5.824984e-01 6.098034e-01
5.831924e-01 6.076794e-01
5.835383e-01 6.325291e-01
5.837691e-01 6.133184e-01
5.881535e-01 6.019062e-01
5.884764e-01 6.039885e-01
5.894870e-01 5.919281e-01
5.911089e-01 5.996668e-01
5.948638e-01 6.003080e-01
5.955271e-01 6.050255e-01
5.957817e-01 5.934304e-01
5.959587e-01 5.884197e-01
5.997195e-01 5.898352e-01
6.015741e-01 5.942877e-01
6.020763e-01 5.945649e-01
6.034410e-01 5.950267e-01
6.039068e-01 6.149938e-01
6.072850e-01 5.930284e-01
6.082844e-01 5.894205e-01
6.083301e-01 5.896475e-01
6.083709e-01 5.819310e-01
6.109233e-01 5.861395e-01
6.146656e-01 5.833691e-01
6.149948e-01 5.865080e-01
6.169407e-01 5.860342e-01
6.184056e-01 5.731186e-01
6.190429e-01 5.845452e-01
6.209602e-01 5.785869e-01
6.217051e-01 5.867045e-01
6.242753e-01 6.032822e-01
6.255513e-01 5.783955e-01
6.258879e-01 5.788748e-01
6.272549e-01 5.739322e-01
6.284154e-01 5.762875e-01
6.308008e-01 5.810763e-01
6.333702e-01 5.775097e-01
6.335495e-01 5.738931e-01
6.341619e-01 5.711063e-01
6.351257e-01 5.705837e-01
6.398441e-01 5.692567e-01
6.408525e-01 5.683631e-01
6.418360e-01 5.660567e-01
6.425587e-01 5.710790e-01
6.427725e-01 5.651703e-01
6.446438e-01 5.856102e-01
6.461388e-01 5.700191e-01
6.483348e-01 5.650266e-01
6.485464e-01 5.664957e-01
6.513831e-01 5.611146e-01
6.524334e-01 5.648777e-01
6.543166e-01 5.676398e-01
6.552567e-01 5.622764e-01
6.558171e-01 5.583289e-01
6.587280e-01 5.644775e-01
6.599937e-01 5.532999e-01
6.619670e-01 5.596778e-01
6.632994e-01 5.537279e-01
6.650123e-01 5.718881e-01
6.650227e-01 5.596124e-01
6.660745e-01 5.569436e-01
6.686043e-01 5.496189e-01
6.686773e-01 5.557150e-01
6.707817e-01 5.534074e-01
6.713173e-01 5.620006e-01
6.753877e-01 5.482274e-01
6.772149e-01 5.455888e-01
6.776120e-01 5.540912e-01
6.778324e-01 5.538405e-01
6.782641e-01 5.464407e-01
6.820980e-01 5.465529e-01
6.839066e-01 5.509216e-01
6.853808e-01 5.591748e-01
6.857464e-01 5.379022e-01
6.858255e-01 5.411786e-01
6.888083e-01 5.517492e-01
6.895903e-01 5.456307e-01
6.902012e-01 5.478382e-01
6.932287e-01 5.451709e-01
6.944361e-01 5.332816e-01
6.955186e-01 5.423528e-01
6.964959e-01 5.473683e-01
7.007110e-01 5.398791e-01
7.013483e-01 5.357088e-01
7.022290e-01 5.412532e-01
7.027905e-01 5.480186e-01
7.030466e-01 5.350713e-01
7.057493e-01 5.458274e-01
7.081933e-01 5.350976e-01
7.089393e-01 5.385347e-01
7.090852e-01 5.414397e-01
7.116572e-01 5.268939e-01
7.131062e-01 5.292732e-01
7.153798e-01 5.346133e-01
7.156496e-01 5.360622e-01
7.156756e-01 5.271734e-01
7.202678e-01 5.241578e-01
7.216744e-01 5.356241e-01
7.223599e-01 5.306738e-01
7.231579e-01 5.256608e-01
7.248641e-01 5.198835e-01
7.261178e-01 5.328122e-01
7.279691e-01 5.351462e-01
7.288784e-01 5.205905e-01
7.290703e-01 5.259938e-01
7.306402e-01 5.212571e-01
7.342637e-01 5.303378e-01
7.357806e-01 5.251619e-01
7.366220e-01 5.158585e-01
7.374890e-01 5.150450e-01
7.381225e-01 5.151481e-01
7.405584e-01 5.214823e-01
7.424909e-01 5.204205e-01
7.456048e-01 5.147522e-01
7.460996e-01 5.116868e-01
7.464863e-01 5.207487e-01
7.468530e-01 5.251952e-01
7.483799e-01 5.108072e-01
7.492012e-01 5.202342e-01
7.530871e-01 5.101443e-01
7.531476e-01 5.227572e-01
7.547102e-01 5.077136e-01
7.559115e-01 5.175407e-01
7.594423e-01 5.194006e-01
7.601378e-01 5.080206e-01
7.605694e-01 5.109064e-01
7.626219e-01 5.069948e-01
7.633208e-01 5.029277e-01
7.657369e-01 5.161663e-01
7.668548e-01 5.094639e-01
7.680517e-01 5.107132e-01
7.693322e-01 5.084895e-01
7.718957e-01 4.968143e-01
7.719314e-01 5.039992e-01
7.720316e-01 5.114066e-01
7.755341e-01 5.007517e-01
7.760425e-01 5.082265e-01
7.783262e-01 5.065851e-01
7.805420e-01 4.971529e-01
7.827528e-01 5.062999e-01
7.830164e-01 4.989350e-01
7.836536e-01 4.994830e-01
7.846208e-01 5.023449e-01
7.872233e-01 5.004022e-01
7.891526e-01 4.933995e-01
7.894632e-01 4.988049e-01
7.904987e-01 4.975988e-01
7.909155e-01 5.015155e-01
7.954115e-01 4.884906e-01
7.961735e-01 5.058371e-01
7.972101e-01 4.969399e-01
7.977632e-01 4.884157e-01
7.979810e-01 4.907345e-01
8.028838e-01 5.015791e-01
8.035048e-01 4.974130e-01
8.054633e-01 4.880206e-01
8.063737e-01 4.787427e-01
8.071695e-01 4.803982e-01
8.075918e-01 4.892241e-01
8.095941e-01 4.939801e-01
8.097994e-01 4.975424e-01
8.129456e-01 4.858741e-01
8.149843e-01 4.794678e-01
8.160940e-01 4.890722e-01
8.163045e-01 4.927815e-01
8.189274e-01 4.778925e-01
8.204279e-01 4.841119e-01
8.223887e-01 4.907313e-01
8.230148e-01 4.868556e-01
8.235949e-01 4.747505e-01
8.279102e-01 4.800677e-01
8.279603e-01 4.792236e-01
8.286833e-01 4.846437e-01
8.297251e-01 4.935093e-01
8.306853e-01 4.733026e-01
8.322055e-01 4.708129e-01
8.349780e-01 4.796670e-01
8.353925e-01 4.786811e-01
8.364354e-01 4.816295e-01
8.408161e-01 4.671724e-01
8.412726e-01 4.830847e-01
8.424432e-01 4.656185e-01
8.428748e-01 4.724660e-01
8.431457e-01 4.786049e-01
8.475672e-01 4.743585e-01
8.483288e-01 4.692067e-01
8.494267e-01 4.620874e-01
8.498561e-01 4.761641e-01
8.503571e-01 4.724117e-01
8.538619e-01 4.764624e-01
8.542011e-01 4.608604e-01
8.565664e-01 4.727595e-01
8.578394e-01 4.688936e-01
8.580373e-01 4.628005e-01
8.601565e-01 4.698322e-01
8.632767e-01 4.691218e-01
8.653217e-01 4.689487e-01
8.659590e-01 4.588905e-01
8.664512e-01 4.752686e-01
8.666479e-01 4.581981e-01
8.686973e-01 4.599736e-01
8.699870e-01 4.684085e-01
8.727458e-01 4.685870e-01
8.728040e-01 4.646691e-01
8.752585e-01 4.550051e-01
8.766974e-01 4.649918e-01
8.777169e-01 4.509922e-01
8.790404e-01 4.719916e-01
8.802864e-01 4.580518e-01
8.834077e-01 4.575841e-01
8.838691e-01 4.550443e-01
8.853351e-01 4.657562e-01
8.877687e-01 4.618728e-01
8.890658e-01 4.501839e-01
8.894748e-01 4.470381e-01
8.901180e-01 4.597201e-01
8.916297e-01 4.619390e-01
8.924797e-01 4.488066e-01
8.952510e-01 4.560933e-01
8.968283e-01 4.611890e-01
8.979244e-01 4.628899e-01
9.010903e-01 4.458165e-01
9.012328e-01 4.416500e-01
9.027333e-01 4.524160e-01
9.035387e-01 4.595410e-01
9.042190e-01 4.582997e-01
9.094343e-01 4.423269e-01
9.097008e-01 4.442542e-01
9.102156e-01 4.479351e-01
9.102490e-01 4.597662e-01
9.105136e-01 4.539275e-01
9.129907e-01 4.365577e-01
9.168083e-01 4.456025e-01
9.169593e-01 4.475190e-01
9.176979e-01 4.450736e-01
9.183114e-01 4.408605e-01
9.231029e-01 4.445705e-01
9.236696e-01 4.567385e-01
9.247486e-01 4.319023e-01
9.251802e-01 4.467964e-01
9.269220e-01 4.374403e-01
9.293975e-01 4.558076e-01
9.298028e-01 4.331233e-01
9.303799e-01 4.488533e-01
9.326625e-01 4.398686e-01
9.355326e-01 4.333848e-01
9.356922e-01 4.174639e-01
9.365065e-01 4.286066e-01
9.370903e-01 4.465969e-01
9.401448e-01 4.352377e-01
9.419868e-01 4.491041e-01
9.438006e-01 4.469589e-01
9.441432e-01 4.328648e-01
9.476271e-01 4.338806e-01
9.482644e-01 4.217923e-01
9.482815e-01 4.313324e-01
9.501713e-01 4.231958e-01
9.505109e-01 4.339349e-01
9.527538e-01 4.267487e-01
9.545761e-01 4.433226e-01
9.551094e-01 4.375594e-01
9.572212e-01 4.359281e-01
9.600223e-01 4.206722e-01
9.608707e-01 4.361177e-01
9.613644e-01 4.281089e-01
9.625917e-01 4.266063e-01
9.639316e-01 4.306950e-01
9.671654e-01 4.279709e-01
9.699750e-01 4.235594e-01
9.700740e-01 4.278990e-01
9.700792e-01 4.003099e-01
9.705398e-01 4.178906e-01
9.706419e-01 4.356656e-01
9.717802e-01 4.171785e-01
9.734600e-01 4.276233e-01
9.773522e-01 4.235741e-01
9.775564e-01 4.289279e-01
9.785856e-01 4.191818e-01
9.797547e-01 4.272561e-01
9.835381e-01 4.105712e-01
9.840625e-01 4.255161e-01
9.850387e-01 4.186771e-01
9.860493e-01 4.275986e-01
9.871962e-01 4.176167e-01
9.907729e-01 4.268775e-01
9.909083e-01 4.122631e-01
9.923439e-01 4.175196e-01
9.925210e-01 4.237289e-01
9.952960e-01 4.078591e-01
9.958068e-01 4.147387e-01
9.974832e-01 4.084874e-01
9.986386e-01 4.189971e-01
1.000003e+00 4.170126e-01
1.004194e+00 4.410105e-01
1.004417e+00 4.102350e-01
1.004933e+00 4.258079e-01
1.006481e+00 3.863983e-01
1.007054e+00 4.001974e-01
1.007486e+00 4.187251e-01
1.010904e+00 4.021445e-01
1.011228e+00 4.141808e-01
1.011277e+00 4.035281e-01
1.013028e+00 4.078760e-01
1.014968e+00 4.207005e-01
1.017523e+00 4.127856e-01
1.017614e+00 4.122618e-01
1.018812e+00 4.000739e-01
1.021639e+00 4.071124e-01
1.022450e+00 4.088387e-01
1.023817e+00 4.136830e-01
1.024324e+00 4.162260e-01
1.029933e+00 4.086370e-01
1.030112e+00 4.107833e-01
1.030249e+00 4.020461e-01
1.030570e+00 3.957314e-01
1.031035e+00 4.073273e-01
1.031645e+00 3.955430e-01
1.036406e+00 4.116682e-01
