Q(A^-1),I(Q)
8.149101250000000476e-03,1.722839440000000444e+00
8.381937849999999968e-03,1.577228269999999100e+00
8.621427060000000711e-03,1.675924769999999953e+00
8.867758979999999444e-03,1.738930419999999977e+00
9.121129110000000817e-03,1.766966430000000088e+00
9.381738540000000154e-03,1.849342289999999167e+00
9.649794119999999253e-03,1.707226689999999714e+00
9.925508600000000625e-03,1.741203549999999822e+00
1.020910080000000074e-02,1.660488340000000118e+00
1.050079580000000054e-02,1.680127810000000110e+00
1.080082519999999921e-02,1.626591809999999860e+00
1.110942699999999984e-02,1.638489879999999843e+00
1.142684620000000012e-02,1.616572880000000101e+00
1.175333469999999964e-02,1.650584070000000292e+00
1.208915170000000004e-02,1.590570030000000301e+00
1.243456360000000024e-02,1.734934500000000046e+00
1.278984470000000054e-02,1.682341200000000203e+00
1.315527690000000034e-02,1.723174470000000014e+00
1.353115019999999967e-02,1.691540259999999796e+00
1.391776299999999966e-02,1.704797060000000197e+00
1.431542220000000046e-02,1.658603920000000009e+00
1.472444319999999945e-02,1.664482819999999919e+00
1.514515089999999946e-02,1.667570160000000135e+00
1.557787899999999934e-02,1.642110069999999977e+00
1.602297109999999830e-02,1.636285549999999978e+00
1.648078039999999883e-02,1.676975829999999945e+00
1.695167020000000122e-02,1.702002970000000115e+00
1.743601430000000022e-02,1.637622930000000254e+00
1.793419710000000028e-02,1.687306811000000017e+00
1.844661400000000007e-02,1.638010418000000357e+00
1.897367180000000125e-02,1.655338382000000053e+00
1.951578860000000026e-02,1.658590636999999868e+00
2.007339489999999949e-02,1.594077473000000023e+00
2.064693310000000059e-02,1.607934645999999912e+00
2.123685850000000055e-02,1.593282658000000129e+00
2.184363920000000070e-02,1.598333138999999736e+00
2.246775700000000139e-02,1.598342462000000186e+00
2.310970700000000017e-02,1.582302613000000191e+00
2.376999889999999865e-02,1.580377168000000054e+00
2.444915669999999860e-02,1.568752812000000052e+00
2.514771940000000081e-02,1.536627001999999909e+00
2.586624150000000136e-02,1.544077520000000092e+00
2.660529329999999915e-02,1.536956066999999981e+00
2.736546130000000118e-02,1.537489341999999981e+00
2.814734890000000073e-02,1.506098507999999780e+00
2.895157649999999944e-02,1.519085119999999955e+00
2.977878269999999911e-02,1.479729204999999936e+00
3.062962379999999846e-02,1.481941663999999825e+00
3.150477520000000142e-02,1.448305839000000095e+00
3.240493149999999767e-02,1.432840495999999852e+00
3.333080709999999836e-02,1.423072356000000038e+00
3.428313680000000252e-02,1.412354588000000133e+00
3.526267660000000081e-02,1.384165159999999783e+00
3.627020389999999900e-02,1.385374878000000143e+00
3.730651819999999952e-02,1.357328942999999954e+00
3.837244229999999673e-02,1.344888765999999958e+00
3.946882189999999929e-02,1.322742746000000080e+00
4.059652739999999871e-02,1.289426248000000053e+00
4.175645370000000134e-02,1.285710238000000061e+00
4.294952159999999852e-02,1.239715985999999992e+00
4.417667780000000127e-02,1.230846831000000030e+00
4.543889639999999785e-02,1.208943316999999906e+00
4.673717919999999942e-02,1.179447796999999909e+00
4.807255660000000347e-02,1.169846516000000003e+00
4.944608849999999889e-02,1.129413554999999958e+00
5.085886509999999749e-02,1.117203415999999949e+00
5.231200750000000038e-02,1.077953914999999929e+00
5.380666919999999714e-02,1.060957912000000114e+00
5.534403649999999897e-02,1.024128066000000059e+00
5.692532959999999781e-02,1.011751507000000050e+00
5.855180339999999789e-02,9.770659640000001200e-01
6.022474900000000103e-02,9.680661489999999869e-01
6.194549399999999678e-02,9.237529149999998968e-01
6.371540430000000033e-02,8.984093930000001116e-01
6.553588450000000232e-02,8.763934449999999377e-01
6.740837959999999851e-02,8.436238069999999478e-01
6.933437580000000044e-02,8.294147730000001051e-01
7.131540159999999462e-02,7.963509579999998866e-01
7.335302940000000549e-02,7.631894159999998983e-01
7.544887640000000339e-02,7.382863760000000219e-01
7.760460610000000092e-02,7.073862420000001094e-01
7.982192949999999954e-02,6.833506789999999054e-01
8.210260630000000559e-02,6.580034559999999866e-01
8.444844679999999326e-02,6.238999399999999307e-01
8.686131269999999849e-02,6.026758020000000382e-01
8.934311920000000129e-02,5.797665060000000148e-01
9.189583599999999464e-02,5.553700089999999978e-01
9.452148920000000287e-02,5.325409740000000003e-01
9.722216270000000327e-02,5.095151399999999775e-01
1.000000000000000056e-01,4.859195920000000113e-01
1.019999999999999934e-01,4.718690290000000509e-01
1.039999999999999952e-01,4.535721249999999927e-01
1.059999999999999970e-01,4.350380939999999863e-01
1.079999999999999988e-01,4.225777130000000215e-01
1.100000000000000006e-01,4.060142529999999361e-01
1.120000000000000023e-01,3.952827450000000464e-01
1.140000000000000041e-01,3.851367350000000078e-01
1.160000000000000059e-01,3.678653709999999966e-01
1.179999999999999938e-01,3.528980549999999328e-01
1.199999999999999956e-01,3.445527149999999539e-01
1.219999999999999973e-01,3.281800680000000470e-01
1.239999999999999991e-01,3.260213460000000452e-01
1.260000000000000009e-01,3.055176880000000095e-01
1.280000000000000027e-01,2.920682399999999790e-01
1.300000000000000044e-01,2.929621550000000019e-01
1.320000000000000062e-01,2.778457680000000485e-01
1.340000000000000080e-01,2.716125890000000154e-01
1.360000000000000098e-01,2.633427580000000101e-01
1.380000000000000115e-01,2.555491299999999577e-01
1.400000000000000133e-01,2.438577599999999790e-01
1.419999999999999873e-01,2.395862689999999628e-01
1.439999999999999891e-01,2.299979560000000034e-01
1.459999999999999909e-01,2.215089270000000221e-01
1.479999999999999927e-01,2.144855449999999997e-01
1.499999999999999944e-01,2.096789780000000158e-01
1.519999999999999962e-01,2.043369959999999930e-01
1.539999999999999980e-01,2.000321259999999768e-01
1.559999999999999998e-01,1.906332119999999963e-01
1.580000000000000016e-01,1.893183479999999697e-01
1.600000000000000033e-01,1.822233089999999445e-01
1.620000000000000051e-01,1.727351699999999379e-01
1.640000000000000069e-01,1.724356869999999486e-01
1.660000000000000087e-01,1.664203370000000293e-01
1.680000000000000104e-01,1.630338299999999907e-01
1.700000000000000122e-01,1.569148470000000239e-01
1.719999999999999862e-01,1.542963470000000004e-01
1.739999999999999880e-01,1.509401159999999575e-01
1.759999999999999898e-01,1.474844049999999851e-01
1.779999999999999916e-01,1.435327260000000549e-01
1.799999999999999933e-01,1.417924449999999892e-01
1.819999999999999951e-01,1.385677410000000220e-01
1.839999999999999969e-01,1.338692439999999984e-01
1.859999999999999987e-01,1.320199399999999468e-01
1.880000000000000004e-01,1.285026290000000349e-01
