Q(A^-1),I(Q)
4.638902739999999948e-03,3.460603685300000052e+03
4.771445739999999672e-03,3.325685342100000071e+03
4.907775770000000030e-03,2.904605460100000073e+03
5.048001029999999757e-03,2.727038004999999885e+03
5.192232809999999983e-03,2.577774814800000058e+03
5.340585580000000408e-03,2.460293856399999640e+03
5.493177109999999690e-03,2.213328956899999866e+03
5.650128479999999738e-03,2.028547881499999903e+03
5.811564279999999715e-03,1.918247318299999961e+03
5.977612640000000248e-03,1.786912275099999988e+03
6.148405330000000432e-03,1.645815418900000168e+03
6.324077929999999750e-03,1.535037034200000107e+03
6.504769849999999728e-03,1.418084398799999917e+03
6.690624519999999707e-03,1.310564780199999859e+03
6.881789430000000152e-03,1.195645612000000028e+03
7.078416320000000157e-03,1.109748422599999913e+03
7.280661239999999812e-03,1.018574472399999991e+03
7.488684720000000385e-03,9.224727729999999610e+02
7.702651859999999628e-03,8.503005473300000858e+02
7.922732479999999855e-03,7.919543241199999102e+02
8.149101250000000476e-03,7.121072946300000694e+02
8.381937849999999968e-03,6.614135455699999966e+02
8.621427060000000711e-03,5.931501090600000907e+02
8.867758979999999444e-03,5.548015814899999896e+02
9.121129110000000817e-03,4.996916533399999594e+02
9.381738540000000154e-03,4.512447120699999914e+02
9.649794119999999253e-03,4.111840439900000206e+02
9.925508600000000625e-03,3.743469913399999882e+02
1.020910080000000074e-02,3.358407296599999654e+02
1.050079580000000054e-02,3.086845674900000063e+02
1.080082519999999921e-02,2.802437988799999857e+02
1.110942699999999984e-02,2.523393337299999928e+02
1.142684620000000012e-02,2.262033848899999953e+02
1.175333469999999964e-02,2.083155825099999845e+02
1.208915170000000004e-02,1.877947394999999915e+02
1.243456360000000024e-02,1.711525403200000142e+02
1.278984470000000054e-02,1.549997073199999988e+02
1.315527690000000034e-02,1.404837631100000124e+02
1.353115019999999967e-02,1.284347288399999911e+02
1.391776299999999966e-02,1.162705964600000073e+02
1.431542220000000046e-02,1.060434120500000006e+02
1.472444319999999945e-02,9.741785957000000451e+01
1.514515089999999946e-02,8.950031097000000102e+01
1.557787899999999934e-02,8.169500311999999553e+01
1.602297109999999830e-02,7.506497944999999561e+01
1.648078039999999883e-02,6.909581345999998803e+01
1.695167020000000122e-02,6.385982541999999285e+01
1.743601430000000022e-02,5.867785494000000313e+01
1.793419710000000028e-02,5.394911092799999608e+01
1.844661400000000007e-02,4.970197664100000168e+01
1.897367180000000125e-02,4.611571905399999594e+01
1.951578860000000026e-02,4.226430874999999787e+01
2.007339489999999949e-02,3.855297571399999867e+01
2.064693310000000059e-02,3.520204899899999873e+01
2.123685850000000055e-02,3.246699897599999929e+01
2.184363920000000070e-02,3.005297840999999792e+01
2.246775700000000139e-02,2.756528994499999996e+01
2.310970700000000017e-02,2.532120895000000260e+01
2.376999889999999865e-02,2.325831814399999686e+01
2.444915669999999860e-02,2.129389655999999675e+01
2.514771940000000081e-02,1.953393864500000277e+01
2.586624150000000136e-02,1.785416959700000206e+01
2.660529329999999915e-02,1.623357960300000258e+01
2.736546130000000118e-02,1.484256229800000071e+01
2.814734890000000073e-02,1.350390988200000031e+01
2.895157649999999944e-02,1.224873384800000053e+01
2.977878269999999911e-02,1.112164269699999863e+01
3.062962379999999846e-02,1.008080195699999848e+01
3.150477520000000142e-02,9.114883294000000191e+00
3.240493149999999767e-02,8.261566222000000792e+00
3.333080709999999836e-02,7.466721112000000105e+00
3.428313680000000252e-02,6.739683450000000242e+00
3.526267660000000081e-02,6.060829554999999758e+00
3.627020389999999900e-02,5.513699465000000188e+00
3.730651819999999952e-02,4.967046000999999933e+00
3.837244229999999673e-02,4.492797427000000177e+00
3.946882189999999929e-02,4.070168680000000094e+00
4.059652739999999871e-02,3.693884002999999971e+00
